id,observed_on,time_observed_at,user_id,user_name,quality_grade,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy,place_town_name,place_county_name,species_guess,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,name_en
3375700,2015-03-23,2015-03-23 08:55:57 UTC,7943,Vijay Barve,research,2,0,13.065518,77.597035,4,,Bangalore,Ropalidia cyathiformis,Ropalidia cyathiformis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia cyathiformis,,,,,Amrutahalli
21056124,2015-08-23,2015-08-23 08:28:00 UTC,342643,Firos AK,research,3,0,12.8948581565,77.5915231667,412,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,,Bilekhalli
33473956,2007-07-24,,2025878,Ashwin Viswanathan,research,1,0,12.9756524913,77.6833420128,41,,Bangalore,Ropalidia variegata,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,Vijnana Nagar
46824769,2014-01-04,,13193,Rohit,research,3,1,13.041394469,77.562821177,2558,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,,Radhakrishna Temple Ward
87827109,2015-05-23,2015-05-22 22:53:00 UTC,4459882,Praveen T,research,3,0,12.9126925,77.6732975,448,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,,Bellanduru
120551389,2015-07-06,2015-07-06 08:04:00 UTC,5772830,,research,2,0,13.1007685,77.580792,641,,Bangalore,Phimenes flavopictus flavopictus,Phimenes flavopictus flavopictus,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Phimenes,,Phimenes flavopictus,,Phimenes flavopictus flavopictus,,,Chowdeswari Ward
139603865,2014-02-07,2014-02-07 04:54:00 UTC,478909,Rama Warrier,research,2,0,12.9063433,77.5856825,2151,,Bangalore,Phimenes flavopictus,Phimenes flavopictus,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Phimenes,,Phimenes flavopictus,,,,,Sarakki
2745508,2016-02-17,2016-02-17 19:23:23 UTC,12158,Erika Mitchell,research,3,0,13.013505,77.56767,,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,,Aramane Nagara
7357259,2017-07-23,2017-07-23 04:04:56 UTC,202610,Bijoy Venugopal,research,2,0,12.9486043133,77.5860233184,31,,Bangalore,Lesser Banded Hornet,Vespa affinis,Lesser Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa affinis,,,,,Vishveshwara Puram
9097465,2017-12-09,2017-12-09 09:48:00 UTC,342643,Firos AK,research,2,0,12.9854542,77.6639248,1541,,Bangalore,Ropalidia cyathiformis,Ropalidia cyathiformis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia cyathiformis,,,,,C V Raman Nagar
9097477,2017-12-09,,342643,Firos AK,research,7,0,12.985454,77.663925,2320,,Bangalore,Ropalidia cyathiformis,Ropalidia cyathiformis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia cyathiformis,,,,,C V Raman Nagar
9177944,2017-12-17,2017-12-17 10:17:43 UTC,63135,Suhel Quader,research,2,0,13.0685944958,77.5781103596,258,,Bangalore,Delta pyriforme pyriforme,Delta pyriforme pyriforme,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Delta,,Delta pyriforme,,Delta pyriforme pyriforme,,,Byatarayanapura
9292820,2017-12-27,2017-12-27 09:44:00 UTC,202610,Bijoy Venugopal,research,3,0,12.915795,77.6039716667,5,,Bangalore,Tropical Paper Wasp,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,,Someswara Temple Ward
34057122,2017-10-18,2017-10-18 10:44:00 UTC,862610,Hareesha A S,research,2,0,13.0790139643,77.5766464392,778,,Bangalore,Tropical Paper Wasp,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,,Byatarayanapura
34057124,2017-10-18,2017-10-18 10:46:00 UTC,862610,Hareesha A S,research,3,0,13.0790139643,77.5766464392,778,,Bangalore,Tropical Paper Wasp,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,,Byatarayanapura
34057129,2017-10-18,2017-10-18 10:47:00 UTC,862610,Hareesha A S,research,2,0,13.0790139643,77.5766464392,778,,Bangalore,Tropical Paper Wasp,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,,Byatarayanapura
