id,observed_on,time_observed_at,user_id,user_name,quality_grade,num_identification_agreements,num_identification_disagreements,latitude,longitude,positional_accuracy,place_town_name,place_county_name,species_guess,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,name_en
137011,2008-01-11,,7943,Vijay Barve,needs_id,1,0,13.1235430719,77.5477220321,,,Bangalore,Ropalidia,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,
1618983,2014-09-21,,7943,Vijay Barve,research,1,0,13.1266,77.546671,8,,Bangalore,Polistes stigma,Polistes stigma,Tropical Paper Wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Polistini,,Polistes,,Polistes stigma,,,,,
3375700,2015-03-23,2015-03-23 08:55:57 UTC,7943,Vijay Barve,research,2,0,13.065518,77.597035,4,,Bangalore,Ropalidia cyathiformis,Ropalidia cyathiformis,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia cyathiformis,,,,,Amrutahalli
21056113,2015-08-23,2015-08-23 06:50:00 UTC,342643,Firos AK,needs_id,0,0,12.8948581565,77.5915231667,412,,Bangalore,"Ants, Bees, and Stinging Wasps",Vespidae,"Hornets, Paper Wasps, Potter Wasps, and Allies",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,,,,,,,,,,,,Bilekhalli
21056124,2015-08-23,2015-08-23 08:28:00 UTC,342643,Firos AK,research,3,0,12.8948581565,77.5915231667,412,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,,Bilekhalli
33473956,2007-07-24,,2025878,Ashwin Viswanathan,research,1,0,12.9756524913,77.6833420128,41,,Bangalore,Ropalidia variegata,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,Vijnana Nagar
46824769,2014-01-04,,13193,Rohit,research,3,1,13.041394469,77.562821177,2558,,Bangalore,Greater Banded Hornet,Vespa tropica,Greater Banded Hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa tropica,,,,,Radhakrishna Temple Ward
46824781,2014-01-04,,13193,Rohit,needs_id,1,0,13.041394469,77.562821177,2558,,Bangalore,Small Brown Paper Wasps,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,Radhakrishna Temple Ward
87827109,2015-05-23,2015-05-22 22:53:00 UTC,4459882,Praveen T,research,3,0,12.9126925,77.6732975,448,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,,Bellanduru
120551389,2015-07-06,2015-07-06 08:04:00 UTC,5772830,,research,2,0,13.1007685,77.580792,641,,Bangalore,Phimenes flavopictus flavopictus,Phimenes flavopictus flavopictus,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Phimenes,,Phimenes flavopictus,,Phimenes flavopictus flavopictus,,,Chowdeswari Ward
139603865,2014-02-07,2014-02-07 04:54:00 UTC,478909,Rama Warrier,research,2,0,12.9063433,77.5856825,2151,,Bangalore,Phimenes flavopictus,Phimenes flavopictus,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Eumeninae,,,,Phimenes,,Phimenes flavopictus,,,,,Sarakki
201133698,2015-11-14,2015-11-14 05:39:00 UTC,4881043,Bhargav A P,needs_id,0,0,12.8942296,77.5518667,658,,Bangalore,Ropalidia variegata,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,Vasanthpura
206408783,2012-05-29,2012-05-29 06:53:00 UTC,7289937,Om Vaknalli,needs_id,2,0,13.0280418115,77.4870270559,3906,,Bangalore,Hornets,Vespa,Hornets,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,,,,,,Dodda Bidarakallu
252320656,2011-12-03,2011-12-03 09:10:00 UTC,8776286,Aditya Parameshwara,needs_id,0,0,13.0657706,77.5678815,202,,Bangalore,Ropalidia jacobsoni,Ropalidia jacobsoni,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia jacobsoni,,,,,Byatarayanapura
252411714,2012-09-30,2012-09-30 06:21:00 UTC,8776286,Aditya Parameshwara,needs_id,0,0,13.0657706,77.5678815,202,,Bangalore,Ropalidia variegata,Ropalidia variegata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia variegata,,,,,Byatarayanapura
2745508,2016-02-17,2016-02-17 19:23:23 UTC,12158,Erika Mitchell,research,3,0,13.013505,77.56767,,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,,Aramane Nagara
2745547,2016-02-21,2016-02-21 16:39:25 UTC,12158,Erika Mitchell,research,3,0,12.7998983333,77.5771166667,,,Bangalore,Ropalidia marginata,Ropalidia marginata,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,Ropalidiini,,Ropalidia,,Ropalidia marginata,,,,,
